Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Combien font 2 + 3 ?,4,5,6,7,5
Quel est le féminin de 'chien' ?,chienne,chiens,chat,chats,chienne
Quel est le premier mois de l'année ?,Janvier,Février,Mars,Avril,Janvier
Quel animal miaule ?,Chien,Chat,Oiseau,Lapin,Chat
Combien de pattes a une araignée ?,4,6,8,10,8
De quelle couleur est une fraise mûre ?,Vert,Rouge,Jaune,Bleu,Rouge
Que boit un bébé ?,Eau,Lait,Jus,Thé,Lait
Quel est le contraire de 'petit' ?,Grand,Minuscule,Bas,Moyen,Grand
Combien font 5 - 2 ?,2,3,4,5,3
Quel est le contraire de 'haut' ?,Bas,Grand,Petit,Large,Bas
De quelle couleur est le ciel en journée ?,Rouge,Bleu,Vert,Noir,Bleu
Quelle partie du corps permet de voir ?,Les mains,Les yeux,Les pieds,Les oreilles,Les yeux
Combien de jours y a-t-il dans une semaine ?,5,6,7,8,7
Quel est l'intrus : chien,chat,banane,lapin ?,Chien,Chat,Banane,Lapin,Banane
Comment s'appelle le bébé du cheval ?,Poule,Poulain,Veau,Chaton,Poulain
Quelle est la saison après l'hiver ?,Automne,Printemps,Été,Hiver,Printemps
Combien de doigts a une main ?,3,4,5,6,5
Quel est le contraire de 'fort' ?,Faible,Grand,Mince,Large,Faible
Quel est le nom du bébé de la vache ?,Veau,Poussin,Mouton,Chevreau,Veau
Quel est le mois qui suit mars ?,Avril,Février,Mai,Juin,Avril
Quel est l'intrus : vélo,voiture,avion,chat ?,Vélo,Voiture,Avion,Chat,Chat
Que mange un panda ?,Viande,Plantes,Fruits,Insectes,Plantes
Quel est l'intrus :,Pomme,Poire,Banane,Tomate,Tomate
Combien de jours y a-t-il dans un mois de février ?,28,29,30,31,28
Quel est le nom de la saison où les feuilles tombent ?,Automne,Printemps,Hiver,Été,Automne
Quel est le contraire de 'lourd' ?,Léger,Grand,Vaste,Mince,Léger
Quel est l'animal qui vole ?,Chien,Chat,Oiseau,Lapin,Oiseau
Quel est le pluriel de 'panier' ?,Paniers,Panierss,Panieres,Panier,Paniers
Quel est l'intrus : fromage,pain,gâteau,lait ?,Fromage,Pain,Gâteau,Lait,Gâteau
Combien de mois dans une année ?,12,11,10,13,12
